t,T1,T2,T3,T6,T7,T8
0, 36.6, 36.3, 36.1, 34.5, 33.8, 33.2
3, 47, 45.6, 44.3, 30.3, 30, 29.9
6, 51.6, 50, 48.6, 31.5, 30.5, 30.2
9, 55, 53.4, 51.8, 32.1, 30.9, 30.5
12, 57.4, 55.8, 54.1, 32.6, 31.3, 30.7
15, 59.2, 57.5, 55.8, 33, 31.6, 30.9
18, 60.5, 58.7, 57, 33.3, 31.8, 31
21, 61.4, 59.7, 57.9, 33.4, 31.9, 31.1
24, 62.1, 60.4, 58.5, 33.6, 32, 31.2
27, 62.7, 60.9, 59.1, 33.6, 32, 31.2
30, 63.2, 61.4, 59.5, 33.7, 32.1, 31.2
33, 63.5, 61.7, 59.9, 33.8, 32.1, 31.3
36, 63.8, 62.1, 60.2, 33.9, 32.2, 31.3
